BCH,Time,Timestamp,BTC,DASH,ETH,LTC,XRP
0.0,2012-04-28-02-00-00,1335571200,3.83,0.0,0.0,0.0,0.0
0.0,2012-04-29-02-00-00,1335657600,3.8,0.0,0.0,0.0,0.0
0.0,2012-04-30-02-00-00,1335744000,3.83,0.0,0.0,0.0,0.0
0.0,2012-05-01-02-00-00,1335830400,3.84,0.0,0.0,0.0,0.0
0.0,2012-05-02-02-00-00,1335916800,3.81,0.0,0.0,0.0,0.0
0.0,2012-05-03-02-00-00,1336003200,3.85,0.0,0.0,0.0,0.0
0.0,2012-05-04-02-00-00,1336089600,3.97,0.0,0.0,0.0,0.0
0.0,2012-05-05-02-00-00,1336176000,3.92,0.0,0.0,0.0,0.0
0.0,2012-05-06-02-00-00,1336262400,3.94,0.0,0.0,0.0,0.0
0.0,2012-05-07-02-00-00,1336348800,3.9,0.0,0.0,0.0,0.0
0.0,2012-05-08-02-00-00,1336435200,3.91,0.0,0.0,0.0,0.0
0.0,2012-05-09-02-00-00,1336521600,3.97,0.0,0.0,0.0,0.0
0.0,2012-05-10-02-00-00,1336608000,3.82,0.0,0.0,0.0,0.0
0.0,2012-05-11-02-00-00,1336694400,3.89,0.0,0.0,0.0,0.0
0.0,2012-05-12-02-00-00,1336780800,3.89,0.0,0.0,0.0,0.0
0.0,2012-05-13-02-00-00,1336867200,3.84,0.0,0.0,0.0,0.0
0.0,2012-05-14-02-00-00,1336953600,3.9,0.0,0.0,0.0,0.0
0.0,2012-05-15-02-00-00,1337040000,3.92,0.0,0.0,0.0,0.0
0.0,2012-05-16-02-00-00,1337126400,3.92,0.0,0.0,0.0,0.0
0.0,2012-05-17-02-00-00,1337212800,3.99,0.0,0.0,0.0,0.0
0.0,2012-05-18-02-00-00,1337299200,4.13,0.0,0.0,0.0,0.0
0.0,2012-05-19-02-00-00,1337385600,4.01,0.0,0.0,0.0,0.0
0.0,2012-05-20-02-00-00,1337472000,4.03,0.0,0.0,0.0,0.0
0.0,2012-05-21-02-00-00,1337558400,4.08,0.0,0.0,0.0,0.0
0.0,2012-05-22-02-00-00,1337644800,4.09,0.0,0.0,0.0,0.0
0.0,2012-05-23-02-00-00,1337731200,4.02,0.0,0.0,0.0,0.0
0.0,2012-05-24-02-00-00,1337817600,4.0,0.0,0.0,0.0,0.0
0.0,2012-05-25-02-00-00,1337904000,4.09,0.0,0.0,0.0,0.0
0.0,2012-05-26-02-00-00,1337990400,4.05,0.0,0.0,0.0,0.0
0.0,2012-05-27-02-00-00,1338076800,4.15,0.0,0.0,0.0,0.0
0.0,2012-05-28-02-00-00,1338163200,4.04,0.0,0.0,0.0,0.0
